lr,hidden_size,reg,val_acc
0.005,512,0.1,0.7083333333333334
0.005,512,0.05,0.6924166666666667
0.005,512,0.001,0.7003333333333334
0.005,256,0.1,0.65175
0.005,256,0.05,0.666
0.005,256,0.001,0.64475
0.005,1024,0.1,0.7205833333333334
0.005,1024,0.05,0.68675
0.005,1024,0.001,0.6823333333333333
0.01,512,0.1,0.6953333333333334
0.01,512,0.05,0.7413333333333333
0.01,512,0.001,0.7195
0.01,256,0.1,0.7018333333333333
0.01,256,0.05,0.7139166666666666
0.01,256,0.001,0.68525
0.01,1024,0.1,0.6266666666666667
0.01,1024,0.05,0.7605
0.01,1024,0.001,0.7114166666666667
0.015,512,0.1,0.77225
0.015,512,0.05,0.7544166666666666
0.015,512,0.001,0.7681666666666667
0.015,256,0.1,0.7325833333333334
0.015,256,0.05,0.72775
0.015,256,0.001,0.707
0.015,1024,0.1,0.7533333333333333
0.015,1024,0.05,0.76725
0.015,1024,0.001,0.7676666666666667
